Region,Country,Year,Nationality wise number of Foreign Tourists Arrivals (FTAs) in India (UOM:Number) |Scaling Factor:1,Nationality wise average duration of stay by Foreign Tourists Arrivals (FTAs) in India (UOM:Day) |Scaling Factor:1
South Asia,Maldives,"Calendar Year (Jan - Dec), 2021",26571.0,22.23
South Asia,Nepal,"Calendar Year (Jan - Dec), 2021",52544.0,24.39
South Asia,Pakistan,"Calendar Year (Jan - Dec), 2021",8163.0,62.21
South Asia,Sri Lanka,"Calendar Year (Jan - Dec), 2021",25989.0,21.58
South East Asia,Indonesia,"Calendar Year (Jan - Dec), 2021",2105.0,31.23
South East Asia,Malaysia,"Calendar Year (Jan - Dec), 2021",6628.0,35.91
South East Asia,Myanmar (Burma),"Calendar Year (Jan - Dec), 2021",3013.0,60.72
South East Asia,Others,"Calendar Year (Jan - Dec), 2021",622.0,102.51
South East Asia,Phillippines,"Calendar Year (Jan - Dec), 2021",6927.0,16.31
South East Asia,Singapore,"Calendar Year (Jan - Dec), 2021",13407.0,31.61
South East Asia,Thailand,"Calendar Year (Jan - Dec), 2021",4668.0,71.11
South East Asia,Vietnam,"Calendar Year (Jan - Dec), 2021",1104.0,22.89
East Asia,China,"Calendar Year (Jan - Dec), 2021",3502.0,98.15
East Asia,Japan,"Calendar Year (Jan - Dec), 2021",15358.0,53.79
East Asia,Others,"Calendar Year (Jan - Dec), 2021",1572.0,134.01
East Asia,Republic Of Korea,"Calendar Year (Jan - Dec), 2021",13330.0,68.03
Australasia,Australia,"Calendar Year (Jan - Dec), 2021",33864.0,47.23
Australasia,New Zealand,"Calendar Year (Jan - Dec), 2021",4497.0,60.16
Australasia,Others,"Calendar Year (Jan - Dec), 2021",504.0,53.25
West Asia,Bahrain,"Calendar Year (Jan - Dec), 2021",1727.0,46.46
West Asia,Iraq,"Calendar Year (Jan - Dec), 2021",16213.0,26.22
West Asia,Israel,"Calendar Year (Jan - Dec), 2021",4601.0,20.79
West Asia,Oman,"Calendar Year (Jan - Dec), 2021",10174.0,19.21
West Asia,Others,"Calendar Year (Jan - Dec), 2021",4499.0,27.15
West Asia,Saudi Arabia,"Calendar Year (Jan - Dec), 2021",1088.0,48.57
West Asia,Turkey,"Calendar Year (Jan - Dec), 2021",3710.0,17.32
West Asia,United Arab Emirates,"Calendar Year (Jan - Dec), 2021",3927.0,19.47
West Asia,Yemen,"Calendar Year (Jan - Dec), 2021",6235.0,72.61
Not classified elsewhere,Not Classified Elsewhere,"Calendar Year (Jan - Dec), 2021",7.0,4.0
Central and South America,Argentina,"Calendar Year (Jan - Dec), 2021",530.0,56.39
Central and South America,Brazil,"Calendar Year (Jan - Dec), 2021",2055.0,50.07
Central and South America,Mexico,"Calendar Year (Jan - Dec), 2021",859.0,47.86
Central and South America,Others,"Calendar Year (Jan - Dec), 2021",3354.0,46.57
North America,Canada,"Calendar Year (Jan - Dec), 2020",122868.0,41.6
North America,Others,"Calendar Year (Jan - Dec), 2020",,
North America,United States Of America,"Calendar Year (Jan - Dec), 2020",394092.0,32.5
